40008 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  COMPUTER ENGINEERING 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40002 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40004 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40004 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40005 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40002 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40005 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40002 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN MANAGMENT TECHNOLOGY
40003 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACY WITH UNIVERSITY BASED ON INTEREST YOU WISH BEST LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE  YOU ARE ALSO ELIGIBLE FOR MT,NANOTECH CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACT WITH UNIVERSITY BEST OF LUCK 
40003 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE  YOU ARE ALSO ELIGIBLE FOR MT,NANOTECH CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACT WITH UNIVERSITY BEST OF LUCK 
40002 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE  YOU ARE ALSO ELIGIBLE FOR MT,NANOTECH CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACT WITH UNIVERSITY BEST OF LUCK 
40002 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE  YOU ARE ALSO ELIGIBLE FOR MT,NANOTECH CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE  YOU ARE ALSO ELIGIBLE FOR MT,NANOTECH CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  DATA SCIENCE  YOU ARE ALSO ELIGIBLE FOR ML,AI,MT CONTACT WITH UNIVERSITY BEST OF LUCK 
40001 CONGRATULATIONS DEAR YOU BEEN SELECTED IN  ARTIFICIAL INTILLIGENCE  YOU ARE ALSO ELIGIBLE FOR MT,NANOTECH CONTACT WITH UNIVERSITY BEST OF LUCK 
